TIME,BPM,IBI,pNN50,pNN_Score
19:27:14,86,690,19:27:14,86,722,NO,
19:27:15,85,722,NO,
19:27:15,85,784,OK,
19:27:16,83,846,OK,
19:27:17,81,868,NO,
19:27:18,79,876,NO,
19:27:18,78,816,OK,
19:27:19,77,748,OK,
19:27:20,77,756,NO,
19:27:21,76,756,NO,
19:27:21,76,752,NO,
19:27:22,75,774,NO,
19:27:22,74,792,NO,
19:27:23,75,776,NO,
19:27:24,76,700,OK,
19:27:24,78,694,NO,
19:27:25,80,688,NO,
19:27:26,81,720,NO,
19:27:27,81,738,NO,
19:27:27,81,748,NO,
19:27:28,81,744,NO,
19:27:29,81,732,NO,
19:27:30,82,716,NO,
19:27:30,84,646,OK,
19:27:31,84,636,NO,
19:27:31,85,638,NO,
19:27:32,86,644,NO,
19:27:33,86,688,NO,
19:27:34,86,726,NO,
19:27:34,86,764,NO,0.2,
19:27:35,86,780,NO,0.20666666666666667,
19:27:36,86,688,OK,0.24022222222222223,
19:27:36,87,668,NO,0.2080074074074074,
19:27:37,87,666,NO,0.17360024691358025,
19:27:38,86,690,NO,0.172453341563786,
19:27:39,85,704,NO,0.17241511138545954,
19:27:39,84,736,NO,0.13908050371284866,
19:27:40,83,750,NO,0.10463601679042829,
19:27:41,83,742,NO,0.1034878672263476,
19:27:41,83,752,NO,0.10344959557421159,
19:27:42,84,738,NO,0.10344831985247373,
19:27:43,83,710,NO,0.10344827732841579,
19:27:44,83,670,NO,0.10344827591094718,
19:27:45,83,644,NO,0.10344827586369824,
19:27:46,84,644,NO,0.07011494252878994,
19:27:46,85,676,NO,0.06900383141762632,
19:27:47,85,706,NO,0.06896679438058755,
19:27:48,86,698,NO,0.06896555981268625,
19:27:48,86,710,NO,0.06896551866042287,
19:27:49,87,724,NO,0.06896551728868075,
19:27:50,86,742,NO,0.06896551724295602,
19:27:51,86,734,NO,0.06896551724143186,
19:27:51,86,680,OK,